message_id,coarse_label,fine_label,train_test_eval
1,1,2,1
2,1,2,1
3,1,2,2
4,1,2,2
5,0,1,2
6,1,2,2
7,1,2,2
8,0,1,2
9,1,2,2
10,1,2,2
11,1,2,2
12,0,1,2
13,2,4,2
14,2,4,2
15,2,4,2
16,2,3,2
17,1,2,2
18,1,2,2
19,2,3,2
20,1,2,2
21,2,3,2
22,0,1,2
23,0,1,2
24,2,3,2
25,2,3,2
26,1,2,2
27,1,2,2
28,2,3,2
29,1,2,2
30,1,2,2
31,0,1,2
32,0,1,2
33,1,2,2
34,0,1,2
35,1,2,2
36,0,1,2
37,0,1,2
38,0,1,2
39,1,2,2
40,0,0,2
41,2,3,2
42,1,2,2
43,2,3,2
44,0,1,2
45,1,2,2
46,1,2,2
47,0,1,2
48,0,1,2
49,0,1,2
50,2,3,2
51,2,3,2
52,1,2,2
53,2,3,2
54,1,2,2
55,1,2,2
56,1,2,2
57,2,3,2
58,0,0,2
59,1,2,2
60,0,1,2
61,1,2,1
62,0,1,1
63,0,1,1
64,1,2,1
65,1,2,2
66,0,1,2
67,0,1,2
68,0,1,1
69,1,2,2
70,1,2,2
71,2,3,2
72,1,2,1
73,2,3,2
74,1,2,2
75,1,2,2
76,1,2,2
77,1,2,2
78,1,2,2
79,0,1,2
80,0,1,2
81,1,2,2
82,0,1,1
83,0,1,2
84,1,2,2
85,1,2,2
86,2,3,2
87,2,3,2
88,2,3,2
89,2,3,2
90,1,2,2
91,1,2,2
92,1,2,2
93,1,2,2
94,1,2,2
95,1,2,2
96,1,2,2
97,1,2,2
98,1,2,2
99,1,2,2
100,2,3,2
101,1,2,2
102,2,3,2
103,2,3,2
104,0,0,2
105,0,0,2
106,0,1,2
107,0,0,2
108,1,2,2
109,1,2,2
110,2,3,2
111,2,3,2
112,2,3,2
113,2,4,2
114,1,2,2
115,0,0,2
116,1,2,2
117,2,3,2
118,0,1,2
119,2,4,2
120,2,3,2
121,2,3,2
122,2,4,2
123,2,4,2
124,2,4,2
125,1,2,2
126,1,2,2
127,1,2,2
128,1,2,2
129,1,2,2
130,2,3,2
131,2,3,1
132,0,1,1
133,1,2,1
134,1,2,1
135,1,2,1
136,1,2,1
